image_name,captions,Generated
980.jpg,"['পোট্রেইট ফটোগ্রাফি ।', 'চশমা পরা একটি ছেলেকে দেখা যাচ্ছে ।', 'একটি ছেলে বসে আছে ।', 'একটি ছেলে এক দিকে তাকিয়ে আছে ।', 'ছেলেটি বসে আছে ।']",
981.jpg,"['একটি সুন্দর ছবি ।', 'দুরে কোনো একটি প্রতিষ্ঠানের লোগো দেখা যাচ্ছে ।', 'ঝোপের আড়াল থেকে একটি ভবন দেখা যাচ্ছে ।', 'দূরে একটি ভবন দেখা যাচ্ছে ।', 'একটি ঝোপ থেকে ভবন এর অংশ দেখা যাচ্ছে ।']",
982.jpg,"['একটি ছেলে দাঁড়িয়ে আছে ।', 'কৃত্রিম আলো ছেলেটির মুখে পড়েছে ।', 'লাল আলোতে একজন ছেলেকে দেখা যাচ্ছে ।', 'চশমা পরা একটি ছেলেকে দেখা যাচ্ছে ।', 'একটি ছেলে গম্ভীর ভাবে দাঁড়িয়ে আছে ।']",
983.jpg,"['একটি মেয়ে দাড়িয়ে আছে ।', 'একটি মেয়ে গোলাপি জামা পড়ে দাঁড়িয়ে আছে ।', 'একটি হাস্যজ্জল মেয়ে দেখা যাচ্ছে ।', 'গোলাপি রঙের জামা পরিহিত একটি মেয়েকে হাসতে দেখা যাচ্ছে ।', 'হাস্যজ্জল মেয়ে দাঁড়িয়ে আছে ।']",
984.jpg,"['কিছু মহিলা দেখা যাচ্ছে ।', 'মহিলারা গল্প করছে ।', 'কিছু হাসতে থাকা মহিলা দেখা যাচ্ছে ।', 'কিছু মহিলাকে কথোপকথন করতে দেখা যাচ্ছে ।', 'কয়েকজন মহিলা গল্প করছে ।']",
985.jpg,"['একজন মেয়ের হাত দেখা যাচ্ছে ।', 'সাদাকালো একটি ছবি ।', 'একটা মেয়ের হাতে চুরি দেখা যাচ্ছে ।', 'মেয়ের হাতে অলংকার দেখা যাচ্ছে ।', 'মেয়ের হাতে চুড়ি ও আংটি রয়েছে ।']",
988.jpg,"['শহরের কোন এক বিকেল ।', 'হাতিরঝিল এর একটি ব্রিজ থেকে ছবিটি তোলা ।', 'সূর্য কিছুক্ষণ পর ডুবে যাবে ।', 'দূরে একটি ছেলেকে দেখা যাচ্ছে ।', 'একটি পড়ন্ত বিকেল ।']",
989.jpg,"['একটি নদী ।', 'নদীর মনোরম দৃশ্য ।', 'নদীতীর এ কিছু ট্রলার দেখা যাচ্ছে ।', 'নদীর ওপারে কিছু ঘর ও ইটভাটা দেখা যাচ্ছে ।', 'গ্রামে বয়ে চলা একটি নদী ।']",
990.jpg,"['একটি বিড়াল ।', 'বিড়ালটি বিশ্রাম নিচ্ছে ।', 'একটি বিড়াল বসে আছে ।', 'একটি বিড়াল জানালায় বসে আছে ।', 'একটি বিড়াল বিছানার পাশে জানালায় বসে আছে ।']",
991.jpg,"['গ্রামের মনোরম দৃশ্য ।', 'একটি গ্রামের বিকেলের দৃশ্য ।', 'সূর্য ডুবে যাচ্ছে ।', 'একটি নদী দেখা যাচ্ছে ।', 'নদীর সুন্দর দৃশ্য ।']",
992.jpg,"['একটা পুকুর দেখা যাচ্ছে ।', 'পুকুরে একজনকে গোসল করতে দেখা যাচ্ছে ।', 'পুকুরে একজন মেয়ে ডুব দিচ্ছে ।', 'একটা সুন্দর পুকুরে একজন ডুব দিচ্ছে ।', 'কোনো এক গ্রামের একটি পুকুরে একজন ডুব দিচ্ছে ।']",
994.jpg,"['কিছু পাখি দেখা যাচ্ছে ।', 'কিছু পাখির খাঁচার উপরে এবং ভিতরে বসে আছে ।', '৪ টি পাখি খাঁচার উপর বসে আছে ।', 'রঙিন কিছু পাখি দেখা যাচ্ছে ।', 'কিছু পাখি বসে রয়েছে ।']",
995.jpg,"['আকাশে মেঘ দেখা যায় ।', 'দুপুরের মনোরম দৃশ্য ।', 'গাছ এর আড়ালে থেকে স্নিগ্ধ আকাশ দে যায় ।', 'দুপুরের সৌন্দর্য ।', 'দুপুরের আকাশে মেঘ জড়ো হয়েছে ।']",
996.jpg,"['একটি বিড়াল ।', 'বিড়ালটি বিশ্রাম নিচ্ছে ।', 'একটি বিড়াল বসে আছে ।', 'একটি বিড়াল জানালার কাছে বসে আছে ।', 'একটি বিড়াল জানালার পাশে কাঠে বসে আছে ।']",
997.jpg,"['একটি বিড়াল ।', 'বিড়ালটি খাবার দেখছে ।', 'একটি বিড়াল বসে আছে ।', 'একটি বিড়াল খাটে বসে আছে ।', 'একটি বিড়াল বিছানায় কিছু চকলেট এর পাশে বসে আছে ।']",
998.jpg,"['গ্রামের মনোরম দৃশ্য ।', 'একটি গ্রামের বিকেলের দৃশ্য ।', 'সূর্য ডুবে যাচ্ছে ।', 'একটি নদী দেখা যাচ্ছে ।', 'নদীর সুন্দর দৃশ্য ।']",
999.jpg,"['গ্রামের চিরচেনা দৃশ্য ।', 'কোন একটি গ্রামের পাকা রাস্তা ।', ""রাস্তার দু'পাশে সারি সারি গাছ ।"", 'রাস্তায় যানবাহন চলাচল করছে ।', 'একটি গ্রামীণ রাস্তা ।']",
1000.jpg,"['একটি বিড়াল ।', 'বিড়ালটি কিছু একটা দেখছে ।', 'একটি বিড়াল বসে আছে ।', 'একটি বিড়াল ব্যাগের ভেতর বসে আছে ।', 'একটি বিড়াল বেঞ্চ এর উপর ব্যাগের ভেতর বসে আছে ।']",
1001.jpg,"['একটি লোক ঝর্ণার সামনে দারিয়ে আছে ।', 'একটি লোক পাহাড়ের সামনে দারিয়ে আছে এবং পাহাড় থেকে পানি পড়ছে ।', 'পাহাড় থেকে পানি পড়ছে ঝর্ণার আকারে এবং একটি লোক দারিয়ে আছে ।', 'একজন লোক পাহাড়ের সামনে দারিয়ে ঝর্ণা দেখছে ।', 'একজন লোক ঝর্ণার দিকে তাকিয়ে আছে ।']",
1002.jpg,"['পাহাড় থেকে পানি পড়ছে ঝর্ণার আকারে ।', 'ঝর্ণার পাশে অনেক পাতা আছে ।', 'গাছের পাতার পাশে ঝর্ণা রয়েছে ।', 'একটি পাহাড় রয়েছে যেখান দিয়ে ঝর্ণা পড়ছে ।', 'একটি পাহাড় রয়েছে যার পাশে গাছের পাতা আছে এবং যেখান থেকে পানি পড়ছে ।']",
1003.jpg,"['পাহাড়ের উপর অনেক গুল গাছ আছে ।', 'পাহাড় থেকে অনেক দূরে কুয়াশার মধ্যে আরও পাহাড় রয়েছে ।', 'পাহাড়ের উপর অনেক গুলো গাছ আছে এবং গাছ গুলোর পিছনে কুয়াশা ।', 'কুয়াশার মধ্যে অনেক পাহাড়ের সারি রয়েছে ।', 'পাহাড়ের উপরের গাছের পাতা গুলো সবুজ ।']",
1004.jpg,"['পাহাড়ের উপর অনেক গুলো গাছ রয়েছে এবং একটি গাছের পাতা নাই ।', 'অনেক গুলো সবুজ পাতা সহ গাছের মধ্যে একটি গাছের পাতা নাই ।', 'গাছ গুলোর পিসনে কুয়াশার মধ্যে পাহাড় দেখা যাচ্ছে ।', 'পাহাড়ের উপর একটি গাছ আছে যার পাতা নাই ।', 'একটি গাছের পাতা নাই কিন্তু বাকি গাছ গুলোর পাতা আছে ।']",
1005.jpg,"['পাহাড়ের উপর অনেক গুলো গাছ দেখা যাচ্ছে এবং গাছ গুলোর মধ্যে একটি বাড়ি রয়েছে ।', 'একটি লাল রঙের বাড়ির আশেপাশে অনেক সবুজ গাছ ।', 'পাহাড়ের উপর অনেক গুলো গাছে রয়েছে এবং আকাশে মেঘ রয়েছে ।', 'গাছ গুলোর পিসনে কুয়াশার মধ্যে পাহাড় দেখা যাচ্ছে ।', 'পাহাড়ের উপর একটি লাল রং এর বাড়ি রয়েছে ।']",
1006.jpg,"['আকাশে কিছু মেঘ আছে ।', 'নিল আকাশে মেঘ রয়েছে ।', 'কিছু গাছের পাতা এবং ডাল আছে তার পিছনে আকাশ ।', 'নিল আকাশে সাদা মেঘ আছে ।', 'আকাশে কয়েক গুছো মেঘ রয়েছে ।']",
1007.jpg,"['একজন ছেলে বোতল হাতে দারিয়ে আছে ।', 'একটি ছেলে নিল জামা ও কাল পায়েজামা পরে দারিয়ে আছে ।', 'একটি ছেলে সবুজ বোতল হাতে দারিয়ে আছে ।', 'একজন ছেলে টুপি মাথায় দারিয়ে আছে ।', 'একটি ছেলে টুপি মাথায় হাতে সবুজ বোতল নিএ দারিয়ে আছে ।']",
1009.jpg,"['একজন লোক দারিয়ে আছে ।', 'একজন লোক লাল জামা পরে দারিয়ে আছে ।', 'একজন লোক চশমা পরে দারিয়ে আছে ।', 'একজন লোক লাল জামা এবং চশমা পরে দারিয়ে আছে ।', 'একজন লোক লাল জামা এবং চশমা পরে দারিয়ে আছে এবং তার পিছনে একটি বাচ্চা রয়েছে ।']",
1010.jpg,"['পাহাড়ের উপর একটি লাল বাড়ি আছে ।', 'একটি লাল বাড়ি আছে তার আশেপাশে অনেক গাছ রয়েছে ।', 'একটি লাল বাড়ির পাশে অনেক সবুজ গাছ রয়েছে ।', 'একটি লাল বাড়ির আশেপাশে অনেক গুলো সবুজ গাছ রয়েছে এবং একটি গাছের কোনও পাতা নাই ।', 'অনেক গুলো সবুজ গাছের মধ্যে একটি গাছের কোনও পাতা নাই ।']",
1011.jpg,"['টেবিল এর উপর কিছু খাবার রাখা আছে ।', 'টেবিল এর উপর একটি জন্মদিন এর কেক আছে ।', 'টেবিল এর উপর একটি জন্মদিন এর কেক আছে এবং তার সাথে কিছু খাবার রয়েছে ।', 'টেবিল এর উপর একটি কেক আছে তার সাথে কিছু চকলেট আছে ।', 'টেবিল এর উপর একটি কেক আছে ও কেক এর পাশে একটি সবুজ রং এর ছুরি আছে ।']",
1012.jpg,"['একটি প্লেট এ ভাত আছে ।', 'একটি প্লেট এ ভাত ও মাংস আছে ।', 'একটি প্লেট এ হলুদ রং এর ভাত আছে ।', 'একটি প্লেট এ হলুদ রং এর ভাত ও লাল রং এর মাংস আছে ।', 'একটি প্লেট এ খিচুরি ও মাংস আছে ।']",
1013.jpg,"['একটি পুজর মন্দব দেখা যাচ্ছে ।', 'কিছু প্রতিমা আছে ।', 'দুর্গা পুজর মন্দব দেখা যাচ্ছে ।', 'প্রতিমার সামনে কিছু মানুষ রয়েছে ।', 'একজন লোক প্রতিমার ঠিক সামনে দারিয়ে পুজ দিচ্ছে ।']",
1014.jpg,"['একটি গাঁটে রয়েছে ।', 'গাঁটে এ নিল আল পড়ছে ।', 'গাঁটে এর উপর বয়েজ ক্লাব লেখা আছে ।', 'গাঁটে এ কিছু কংকাল লাগান আছে ।', 'নিল রং এর গাঁটে এর উপর বয়েজ ক্লাব লেখা আছে ।']",
1015.jpg,"['৬টি মূর্তি আছে ।', 'পুজার জন্য ৬টি মূর্তি আছে ।', 'মাঝের মূর্তিতে একটি সিংহ আছে ।', 'মাঝের মূর্তিতে একজন মহিলা একজন পপুরুষের উপর দারিয়ে আছে ।', 'মাঝের মূর্তিতে দুই পাশে দুইটি করে চারটি মূর্তি আছে ।']",
1016.jpg,"['একটি গলাপ ফুল এর দেখা যাচ্ছে ।', 'একটি লাল গলাপ ফুল রয়েছে ।', 'অনেক গুলো পাতার মাঝখানে একটি গলাপ ফুল আছে ।', 'অনেক গুলো সবুজ পাতার মাঝখানে একটি লাল গলাপ ফুল আছে ।', 'একটি তবের মধ্যে গলাপ গাছ আসে এবং গাছ এ একটি লাল গলাপ ফুল আছে ।']",
1017.jpg,"['দুই জন মানুষ একটি পাহাড়ের উপর দারিয়ে আছে ।', 'দুই জন মানুষ একটি পাহাড়ের ঝর্ণার মধ্যে দারিয়ে আছে ।', 'একজন লোক দুই হাত দুই দিকে দিয়ে দারিয়ে আছে এবং আর একজন কাল গেঞ্জি পরে দারিয়ে আছে ।', 'দুই জন ছেলে ঝর্ণার পানিতে ভিজতেসে ।', 'দুই জন ছেলের একজন পাহাড় এর সাথে লেগে আছে আর একজন দারিয়ে আছে ।']",
1018.jpg,"['দুই জন মানুষ একটি নৌকায়ে বসে আছে ।', 'দুই জন একটি নদির মধ্যে নৌকায়ে বসে আছে ।', 'দুই জন একটি নদির মধ্যে নৌকায়ে বসে আছে এবং নদির পারে সবুজ গাছে সারি আছে ।', 'নীল আকাশ এ এক গুছো মেঘ রয়েছে আকাশ এর নিছে এক সারি সবুজ গাছ আছে আর নিছে নদির পানি আছে ।', 'দুই জন লোক কমলা রং এর জামা পরে লাল রং এর নৌকা তে বশে আছে ।']",
1019.jpg,"['টেবিল এর উপর একটি খাবার আছে ।', 'টেবিল এর উপর একটি পিঁজা রয়েছে ।', 'টেবিল এর উপর বিভিন্ন উপাদান এর তৈরি পিঁজা আছে ।', 'বাদামি রং এর টেবিল এর উপর একটি পিঁজা আছে ।', 'পিঁজাটির পাশে আরও দুইটি ফাকা প্লেট আছে ।']",
1020.jpg,"['চার বস্তা কফি আছে ।', 'চার বস্তা বিভিন্ন কাফি আছে ।', 'চার বস্তা ও প্যাকেটে কাফি আছে ।', 'চার বস্তাতে বাদামি রং এর কাফি আছে ।', 'একটি টেবিল এর পিছনে চার বস্তা কাফি আছে ।']",
1021.jpg,"['একজন মানুষ হাতে একটি বোতল ধরে আছে ।', 'হাতে একটি ঔষধ এর বোতল আছে ।', 'হাতে একটি সাদা মরকের বোতল আছে ।', 'হাতের বোতলটি ঔষধের ।', 'একজন মানুষ হাতে একটি ঔষধের বোতল ধরে আছে এবং বোতল এর মরক টি সাদা ।']",
1023.jpg,"['একটি গাছ আছে ।', 'একটি তবে একটি গাছ আছে ।', 'তবে একটি গাছ আছে এবং গাছের পাতা গুলো সাবুজ ।', 'একটি তব আছে তবের মধ্যে পাঁথর আছে এবং একটি গাছ আছে ।', 'তবে একটি গাছের পাশে আরও একটি গাছ আছে ।']",
1025.jpg,"['একটি সাদা ফুল আছে ।', 'একটি গাছ আছে এবং গাছে একটি সাদা ফুল আছে ।', 'একটি গাছ আছে এবং গাছের সবুজ পাতা আছে ।', 'একটি গাছে সবুজ পাতা আছে এবং একটি সাদা ফুল আছে ।', 'একটি গাছে একটি সাদা ফুল আছে এবং অনেক গুলো সবুজ পাতা আছে ।']",
1026.jpg,"['একজন লোক একটি ক্যামেরা ধরে আছে ।', 'একটি ক্যামেরা আছে এবং একজন লোক সেই ক্যামেরাটি ধরে আছে ।', 'একটি লোকের উপর লাল আলো পরছে এবং লোকটি একটি ক্যামেরা ধরে আছে ।', 'একটি লোক ক্যামেরা ধরে আছে এবং লকটির পিছনে দুই জন লোক দারিয়ে আছে ।', 'একজন লোক ক্যামেরা হাতে দারিয়ে আছে ।']",
1027.jpg,"['একটি লুডু খেলার বোর্ড আছে ।', 'খেলার বোর্ড এ চারতি গুতি আছে ।', 'খেলার বোর্ড এ লাল সবুজ নীল ও হলুদ রং এর চারটি গুতি আছে ।', 'খেলার বোর্ড এ চারতি গুতি আছে ও একটি ছক্কা আছে ।', 'খেলার বোর্ড এ চারতি গুতি একটি ছক্কা ও একটি কৌটা আছে ।']",
1028.jpg,"['গাছে কিছু ফুল আছে ।', 'গাছে কিছু লাল ফুল আছে ।', 'গাছে কিছু লাল ফুল ও অনেক সবুজ পাতা আছে ।', 'একটি গাছে অনেক গুলো সবুজ পাতার মধ্যে একটি লাল গলাপ আছে ।', 'একটি লাল গলাপ ফুল এর পাশে অনেক সবুজ পাতা আছে ।']",
1029.jpg,"['একটি সাদা ফুল আছে ।', 'একটি গাছ আছে এবং গাছে একটি সাদা ফুল আছে ।', 'একটি গাছ আছে এবং গাছের সবুজ পাতা আছে ।', 'একটি গাছে একটি সাদা ফুল আছে এবং অনেক গুলো সবুজ পাতা আছে ।', 'একটি গাছে সবুজ পাতা আছে এবং একটি সাদা ফুল আছে ।']",
1030.jpg,"['একজন মেয়ে আছে ।', 'একজন মেয়ে আছে ও মেয়েটি বাম দিকে তাকিয়ে আছে ।', 'একজন মেয়ে আছে এবং মেয়েটির উপর লাল আল পড়েছে ।', 'একজন মেয়ের উপর লাল আল পড়েছে এবং মেয়েটি বামে তাকিয়ে আছে ।', 'একটি মেয়ে দারিয়ে আছে এবং মেয়েটি বামে তাকিয়ে আছে ।']",
1031.jpg,"['অনেক গুলো গাছ আছে ।', 'গাছে সবুজ পাতা আছে ।', 'অনেক গুলো গাছ আছে এবং গাছ গুলোর পিছনে কুয়াশা আছে ।', 'গাছ গুলোর পিছনে কুয়াশার মধ্যে পাহাড় আছে ।', 'অনেক গুলো গাছে সবুজ পাতা আছে এবং গাছের পিছনে কুয়াশার মধ্যে পাহাড় আছে ।']",
1035.jpg,"['একজন মানুষ আছে ।', 'একজন মেয়ে আছে এবং মেয়েটি হাআত উঁচু করে আছে ।', 'একটি মেয়ে আছে এবং মেয়েটি উপর লাল আল পড়েছে ।', 'একটি মেয়ে হাত তুলে দারিয়ে আছে এবং তার উপর লাল আল পড়েছে ।', 'একটি মেয়ে হাত তুলে দারিয়ে আছে এবং তার পিছনে অনেক মানুষ দারিয়ে আছে ।']",
1036.jpg,"['একটি মেয়ে দারিয়ে আছে ।', 'একটি মেয়ে কমরে হাত দিয়ে দারিয়ে আছে ।', 'একটি মেয়ে কমরে হাত দিয়ে দারিয়ে আছে এবং তার পিছনে দুই জন মেয়ে দারিয়ে আছে ।', 'একটি মেয়ে নীল জামা পরে কমরে হাত দিয়ে দারিয়ে আছে ।', 'একটি মেয়ে নীল জামা পরে আছে এবং তার পিছনে একটি মেয়ে লাল জামা পরে আছে ।']",
1037.jpg,"['একটি কুকুর আছে ।', 'একটি কুকুর শুয়ে আছে ।', 'একটি কালো কুকুর আছে ।', 'একটি কালো ও সাদা কুকুর শুয়ে আছে ।', 'একটি কালো সাদা কুকুর মাটিতে শুয়ে আছে ।']",
1038.jpg,"['পাহাড় থেকে পানি পড়ছে ঝর্ণার আকারে ।', 'ঝর্ণার পাশে অনেক পাতা আছে ।', 'একটি পাহাড় রয়েছে যার পাশে গাছের পাতা আছে এবং যেখান থেকে পানি পড়ছে ।', 'গাছের পাতার পাশে ঝর্ণা রয়েছে ।', 'একটি পাহাড় রয়েছে যেখান দিয়ে ঝর্ণা পড়ছে ।']",
1039.jpg,"['একটি লাল বাড়ির আশেপাশে অনেক গুলো সবুজ গাছ রয়েছে এবং একটি গাছের কোনও পাতা নাই ।', 'পাহাড়ের উপর একটি লাল বাড়ি আছে ।', 'একটি লাল বাড়ির পাশে অনেক সবুজ গাছ রয়েছে ।', 'অনেক গুলো সবুজ গাছের মধ্যে একটি গাছের কোনও পাতা নাই ।', 'একটি লাল বাড়ি আছে তার আশেপাশে অনেক গাছ রয়েছে ।']",
1040.jpg,"['অনেক গুলো মানুষ আছে ।', 'একজন মানুষ চশমা পরে আছে ।', 'একজন মানুষ চশমা পরে আছে একজন মানুষ আর একজনের ঘারে হাত দিয়ে আছে ।', 'একজন মানুষ চশমা পরে আছে একজন মানুষ টুপি পরে আছে ।', 'অনেক গুলো ছেলে মানুষ এর মধ্যে একজন মহিলা আছে ।']",
1041.jpg,"['একজন মেয়ে দারিয়ে আছে ।', 'একটি মেয়ে দারিয়ে আছে এবং তার পিছনে অনেক গুলো মেয়ে বসে আছে ।', 'একটি মেয়ে দুই হাত ধরে দারিয়ে আছে ।', 'একটি মেয়ে দারিয়ে আছে এবং তার উপর নীল আলো পড়ছে ।', 'একটি মেয়ে রাম্প এর উপর দারিয়ে আছে ।']",
1042.jpg,"['একটি মেয়েকে দেখা যাচ্ছে ।', 'একটি মেয়ে অন্ধকার এর মধ্যে দারিয়ে আছে ।', 'একটি মেয়ে অনেক গুলো মানুষের মধ্যে দারিয়ে আছে ।', 'একটি মেয়ে দারিয়ে আছে এবং তার উপর লাল আলো পড়ছে ।', 'অনেক গুলো মেয়ে আছে এবং তাদের মধ্যে একজন মেয়ে দারিয়ে আছে ।']",
1043.jpg,"['তিন জন ছেলে বসে আছে ।', 'তিন জন ছেলে বসে আছে এবং একজন গুইটার হাতে আছে ।', 'তিন জন ছেলে বসে আছে এবং একজন চোখ বন্ধ করে আছে ।', 'একজন চোখ বন্ধ করে আছে এবং একজন গুইটার হাতে নিয়ে বসে আছে ।', 'তিন জন ছেলে বসে আছে এবং একজন বাকি দুই জন এর দিকে তাকিয়ে আছে ।']",
1044.jpg,"['একজন ছেলে অনেকের মধ্যে বসে আছে ।', 'একজন ছেলে অনেকের মধ্যে বসে গুইটার বাজাচ্ছে ।', '৫জন ছেলে বসে আছে এবং একজন গুইটার হাতে বসে আছে ।', 'একজন ছেলে চশমা পরে গুইটার হাতে বশে আছে ।', '৫জন ছেলে অন্ধকারে বসে আছে ।']",
1045.jpg,"['একটি সিগারেট আছে ।', 'একজনের হাতে সিগারেট আছে ।', 'একজন সিগারেট টানছে ।', 'একজন সিগারেট হাতে নিয়ে টানছে ।', 'একজন ছেলে সিগারেট খাচ্ছে ।']",
1046.jpg,"['পাহাড়ের উপর অনেক গুলো গাছ রয়েছে এবং একটি গাছের পাতা নাই ।', 'গাছ গুলোর পিসনে কুয়াশার মধ্যে পাহাড় দেখা যাচ্ছে ।', 'অনেক গুলো সবুজ পাতা সহ গাছের মধ্যে একটি গাছের পাতা নাই ।', 'একটি গাছের পাতা নাই কিন্তু বাকি গাছ গুলোর পাতা আছে ।', 'পাহাড়ের উপর একটি গাছ আছে যার পাতা নাই ।']",
1047.jpg,"['অনেক গুলো গাছ আছে ।', 'নীল আকাশ দেখা যাচ্ছে এবং অনেক গুলো গাছ দেখা যাচ্ছে ।', 'কিছু কলা গাছ দেখা যাচ্ছে ।', 'অনেক গুলো গাছের মধ্যে কিছু কলা গাছ দেখা যাচ্ছে ।', 'অনেক গুলো সবুজ গাছ ও নীল আকাশ দেখা যাচ্ছে ।']",
1048.jpg,"['দুই জন মেয়ে দারিয়ে আছে ।', 'একজন মেয়ে সামনে দারিয়ে আছে এবং একজন পিছনে দারিয়ে আছে ।', 'একজন মেয়ে নীল পায়েজামা পরে আছে এবং একজন লাল রং এর জামা পরে আছে ।', 'দুই জন মেয়ে রাম্প এর উপর দারিয়ে আছে এবং কিছু মানুষ বসে আছে ।', 'একজন মেয়ে কোমরে হাত দিয়ে দারিয়ে আছে ।']",
1049.jpg,"['একটি মেয়ে আছে ।', 'একজন মেয়ে বামে তাকিয়ে আছে ।', 'একজন কালো সাদা মেয়ে আছে ।', 'একজন কালো সাদা মেয়ে বাম দিকে তাকিয়ে আছে ।', 'বাম দিকে তাকিয়ে একজন মেয়ে আছে ।']",
1051.jpg,"['একটি পাতা হীন গাছ আছে ।', 'একটি গাছ আছে এবং গাছে কোনও পাতা নাই ।', 'একটি গাছে পাতা নাই এবং গাছটির পিছনে কুয়াশার মধ্যে কিছু পাহাড় আছে ।', 'একটি কাছে কোনও পাতা নাই এবং অই গাছটির সামনে অনেক গাছের পাতা আছে ।', 'অনেক গুলো গাছ আছে এবং একটি গাছে কোনও পাতা নাই ।']",
1052.jpg,"['একটি ফুল আছে ।', 'একটি গলাপ ফুল আছে ।', 'একটি লাল গলাপ ফুল আছে ।', 'একটি গলাপ ফুল এর আশেপাশে সবুজ পাতা আছে ।', 'সবুজ পাতার মধ্যে লাল গলাপ ফুল আছে ।']",
1053.jpg,"['একটি গোল দালান আছে ।', 'দালানের পাশে কিছু গাছ আছে ।', 'দালানের পাশে কিছু সবুজ গাছ আছে ।', 'একটি গোল দালানের পাশে সবুজ গাছ আছে ।', 'একটি গোল দালানের নিছে কিছু মানুষ আছে ।']",
1054.jpg,"['একটি দালান আছে ।', 'একটি দালানের সামনে দুই জন মানুষ আছে ।', 'দালানের সামনে একজন মেয়ে এবং একজন ছেলে আছে ।', 'একটি দালানে সায়েন্স সিটি লেখা আছে ।', 'সায়েন্স সিটি লেখা দালানের সামনে দুই জন মানুষ দারিয়ে আছে ।']",
1057.jpg,"['কিছু পাতা আছে ।', 'কিছু গাছের পাতা আছে ।', 'কিছু গাছের সবুজ পাতা আছে ।', 'গাছের পাতার উপর পানি আছে ।', 'কিছু সবুজ পাতার গায়ে পানি আছে ।']",
1058.jpg,"['একটি অবয়ব আছে ।', 'একটি অবয়ব এর নিচে পানি আছে এবং এর সামনে কিছু ফুল গাছ আছে ।', 'একটি অবয়ব এর সামনে কিছু ফুলের গাছ আছে ।', 'একটি অবয়ব এর নিচে পানি আছে ।', 'একটি অবয়ব এর সামনে কিছু ফুল আছে ।']",
1059.jpg,"['একটি রাস্তা আছে ।', 'রাস্তার দুই ধারে গাছ আছে ।', 'রাস্তায়ে একটি ট্রাক আছে ।', 'একটি ট্রাক রাস্তা দিয়ে যাচ্ছে ।', 'একটি লোক মোটরসাইকেল চালাচ্ছে ।']",
1060.jpg,"['একটি দালান আছে ।', 'একটি দালান আছে যার কিছু অংশ ফাকা ।', 'একটি দালানের সামনে একজন মানুষ আছে ।', 'একটি দালানের সামনে একটি খলা ময়দান আছে ।', 'একটি দালানের সামনে খলা ময়দান এ একজন মানুষ দারিয়ে আছে ।']",
1061.jpg,"['একটি বেরা আছে ।', 'একটি বেরার মধ্যে কিছু ছোট গাছ আছে ।', 'একটি বেরার মধ্যে ৯ টি ছোট গাছ আছে ।', '৯ টি গাছ একটি বেরার মধ্যে আছে ।', '৯ টি ছোট গাছের পিসন এ বড় বড় গাছ আছে ।']",
1062.jpg,"['কিছু ফুল আছে ।', 'কিছু সাদা ফুল আছে ।', 'কিছু সাদা ফুল এর পাশে পাতা আছে ।', 'কিছু সাদা ফুলের পাশে সবুজ পাতা আছে ।', 'সবুজ পাতার মধ্যে কিছু সাদা ফুল আছে ।']",
1063.jpg,"['৩ জন মানুষ দারিয়ে আছে ।', 'দুই জন মেয়ে দারিয়ে আছে এবং একজন ছেলে দারিয়ে আছে ।', 'দুই জন মেয়ে একটি টেবিল এর সামনে দারিয়ে আছে ।', 'একটি নীল শার্ট পরা ছেলে দারিয়ে আছে ।', '৩ জন মানুষ একটি লাল টেবিল এর সামনে দারিয়ে আছে ।']",
1064.jpg,"['একটি বিড়াল আছে ।', 'একটি বিড়াল বসে আছে ।', 'একটি বিড়াল জামা পরে বসে আছে ।', 'একটি বিড়াল জামা পরে বশে নিছে দেখছে ।', 'একটি বিড়াল সাদা জামা পরে আছে ।']",
1066.jpg,"['কিছু দালান দেখা যাচ্ছে ।', 'কিছু দালানের মধ্যে কিছু গাছ দেখা যাচ্ছে ।', 'একটি দালান তৈরি করা হচ্ছে ।', 'দালান এবং গাছের উপর নীল আকাশ আছে ।', 'নীল আকাশের নিছে দালান ও সবুজ গাছ আছে ।']",
1067.jpg,"['একটি রাস্তা দেখা যাচ্ছে ।', 'রাতে একটি রাস্তা দেখা যাচ্ছে ।', 'রাতে একটি রাস্তায়ে বাতি জ্বলছে ।', 'অনেক দালানের মধ্যে একটি রাস্তা আছে ।', 'অনেক দালানের মধ্যে একটি রাস্তায়ে বাতি জ্বলছে ।']",
1068.jpg,"['অনেক গুলো দালান দেখা যাচ্ছে ।', 'একটি লম্বা দালান আছে ।', 'দালান এর মধ্যে দিয়ে সূর্যাস্ত দেখা যাচ্ছে ।', 'সূর্যাস্ত দালানের পিছনে দেখা যাচ্ছে ।', 'কিছু দালানের উপর গাছ আছে ।']",
1070.jpg,"['দুই জন মেয়ে দারিয়ে আছে ।', 'একটি লাল টেবিল আছে ।', 'দুই জন মেয়ে একটি লাল টেবিল এর সামনে দারিয়ে আছে ।', 'দুই জন মেয়ে একটি খাবার এর টেবিল এর সামনে দারিয়ে আছে ।', 'লাল রং এর খাবারের টেবিল এর সামনে দুই জন মেয়ে দারিয়ে আছে ।']",
1071.jpg,"['একটি বিড়াল আছে ।', 'একটি সাদা রঙের বিড়াল আছে ।', 'একটি সাদা বিড়াল ঘুমিয়ে আছে ।', 'একটি লাল কাপরের উপর একটি বিড়াল আছে ।', 'একটি লাল কাপরের উপর একটি সাদা বিড়াল ঘুমিয়ে আছে ।']",
